Time,City,Product,Sales
month1,city1,product1,244.0
month2,city1,product1,228.0
month3,city1,product1,184.0
month4,city1,product1,200.0
month5,city1,product1,202.0
month6,city1,product1,238.0
month7,city1,product1,247.0
month8,city1,product1,190.0
month9,city1,product1,252.0
month10,city1,product1,245.0
month11,city1,product1,229.0
month12,city1,product1,224.0
month1,city1,product2,228.0
month2,city1,product2,217.0
month3,city1,product2,174.0
month4,city1,product2,185.0
month5,city1,product2,189.0
month6,city1,product2,228.0
month7,city1,product2,237.0
month8,city1,product2,176.0
month9,city1,product2,237.0
month10,city1,product2,234.0
month11,city1,product2,214.0
month12,city1,product2,209.0
month1,city1,product3,213.0
month2,city1,product3,199.0
month3,city1,product3,154.0
month4,city1,product3,167.0
month5,city1,product3,168.0
month6,city1,product3,207.0
month7,city1,product3,216.0
month8,city1,product3,157.0
month9,city1,product3,217.0
month10,city1,product3,216.0
month11,city1,product3,194.0
month12,city1,product3,192.0
month1,city1,product4,198.0
month2,city1,product4,183.0
month3,city1,product4,142.0
month4,city1,product4,153.0
month5,city1,product4,155.0
month6,city1,product4,193.0
month7,city1,product4,206.0
month8,city1,product4,143.0
month9,city1,product4,206.0
month10,city1,product4,201.0
month11,city1,product4,184.0
month12,city1,product4,176.0
month1,city1,product5,240.0
month2,city1,product5,226.0
month3,city1,product5,180.0
month4,city1,product5,192.0
month5,city1,product5,197.0
month6,city1,product5,232.0
month7,city1,product5,245.0
month8,city1,product5,185.0
month9,city1,product5,250.0
month10,city1,product5,242.0
month11,city1,product5,223.0
month12,city1,product5,218.0
month1,city1,product6,248.0
month2,city1,product6,232.0
month3,city1,product6,194.0
month4,city1,product6,203.0
month5,city1,product6,208.0
month6,city1,product6,246.0
month7,city1,product6,255.0
month8,city1,product6,195.0
month9,city1,product6,258.0
month10,city1,product6,251.0
month11,city1,product6,233.0
month12,city1,product6,228.0
month1,city1,product7,227.0
month2,city1,product7,215.0
month3,city1,product7,170.0
month4,city1,product7,178.0
month5,city1,product7,184.0
month6,city1,product7,224.0
month7,city1,product7,235.0
month8,city1,product7,172.0
month9,city1,product7,233.0
month10,city1,product7,231.0
month11,city1,product7,210.0
month12,city1,product7,203.0
month1,city1,product8,212.0
month2,city1,product8,198.0
month3,city1,product8,154.0
month4,city1,product8,166.0
month5,city1,product8,167.0
month6,city1,product8,212.0
month7,city1,product8,218.0
month8,city1,product8,158.0
month9,city1,product8,221.0
month10,city1,product8,215.0
month11,city1,product8,194.0
month12,city1,product8,191.0
month1,city1,product9,241.0
month2,city1,product9,229.0
month3,city1,product9,187.0
month4,city1,product9,197.0
month5,city1,product9,200.0
month6,city1,product9,240.0
month7,city1,product9,248.0
month8,city1,product9,192.0
month9,city1,product9,254.0
month10,city1,product9,247.0
month11,city1,product9,227.0
month12,city1,product9,224.0
month1,city1,product10,194.0
month2,city1,product10,179.0
month3,city1,product10,137.0
month4,city1,product10,147.0
month5,city1,product10,150.0
month6,city1,product10,189.0
month7,city1,product10,202.0
month8,city1,product10,138.0
month9,city1,product10,201.0
month10,city1,product10,198.0
month11,city1,product10,174.0
month12,city1,product10,173.0
month1,city1,product11,265.0
month2,city1,product11,252.0
month3,city1,product11,206.0
month4,city1,product11,219.0
month5,city1,product11,226.0
month6,city1,product11,262.0
month7,city1,product11,271.0
month8,city1,product11,213.0
month9,city1,product11,276.0
month10,city1,product11,269.0
month11,city1,product11,251.0
month12,city1,product11,242.0
month1,city1,product12,224.0
month2,city1,product12,207.0
month3,city1,product12,160.0
month4,city1,product12,174.0
month5,city1,product12,182.0
month6,city1,product12,216.0
month7,city1,product12,229.0
month8,city1,product12,166.0
month9,city1,product12,229.0
month10,city1,product12,224.0
month11,city1,product12,209.0
month12,city1,product12,200.0
month1,city1,product13,203.0
month2,city1,product13,189.0
month3,city1,product13,148.0
month4,city1,product13,158.0
month5,city1,product13,159.0
month6,city1,product13,199.0
month7,city1,product13,208.0
month8,city1,product13,147.0
month9,city1,product13,212.0
month10,city1,product13,206.0
month11,city1,product13,189.0
month12,city1,product13,181.0
month1,city1,product14,236.0
month2,city1,product14,222.0
month3,city1,product14,175.0
month4,city1,product14,190.0
month5,city1,product14,191.0
month6,city1,product14,231.0
month7,city1,product14,242.0
month8,city1,product14,181.0
month9,city1,product14,246.0
month10,city1,product14,238.0
month11,city1,product14,222.0
month12,city1,product14,214.0
month1,city1,product15,216.0
month2,city1,product15,203.0
month3,city1,product15,158.0
month4,city1,product15,172.0
month5,city1,product15,174.0
month6,city1,product15,212.0
month7,city1,product15,217.0
month8,city1,product15,160.0
month9,city1,product15,222.0
month10,city1,product15,218.0
month11,city1,product15,201.0
month12,city1,product15,191.0
month1,city1,product16,180.0
month2,city1,product16,167.0
month3,city1,product16,122.0
month4,city1,product16,134.0
month5,city1,product16,138.0
month6,city1,product16,176.0
month7,city1,product16,187.0
month8,city1,product16,124.0
month9,city1,product16,190.0
month10,city1,product16,184.0
month11,city1,product16,161.0
month12,city1,product16,161.0
month1,city1,product17,206.0
month2,city1,product17,193.0
month3,city1,product17,151.0
month4,city1,product17,160.0
month5,city1,product17,163.0
month6,city1,product17,202.0
month7,city1,product17,212.0
month8,city1,product17,151.0
month9,city1,product17,216.0
month10,city1,product17,208.0
month11,city1,product17,190.0
month12,city1,product17,183.0
month1,city1,product18,218.0
month2,city1,product18,206.0
month3,city1,product18,157.0
month4,city1,product18,176.0
month5,city1,product18,175.0
month6,city1,product18,216.0
month7,city1,product18,226.0
month8,city1,product18,166.0
month9,city1,product18,229.0
month10,city1,product18,224.0
month11,city1,product18,201.0
month12,city1,product18,200.0
month1,city1,product19,218.0
month2,city1,product19,204.0
month3,city1,product19,160.0
month4,city1,product19,170.0
month5,city1,product19,179.0
month6,city1,product19,214.0
month7,city1,product19,224.0
month8,city1,product19,161.0
month9,city1,product19,226.0
month10,city1,product19,221.0
month11,city1,product19,200.0
month12,city1,product19,194.0
month1,city1,product20,218.0
month2,city1,product20,205.0
month3,city1,product20,162.0
month4,city1,product20,171.0
month5,city1,product20,176.0
month6,city1,product20,215.0
month7,city1,product20,223.0
month8,city1,product20,164.0
month9,city1,product20,226.0
month10,city1,product20,224.0
month11,city1,product20,204.0
month12,city1,product20,197.0
month1,city2,product1,260.0
month2,city2,product1,244.0
month3,city2,product1,201.0
month4,city2,product1,216.0
month5,city2,product1,219.0
month6,city2,product1,253.0
month7,city2,product1,263.0
month8,city2,product1,209.0
month9,city2,product1,268.0
month10,city2,product1,259.0
month11,city2,product1,246.0
month12,city2,product1,239.0
month1,city2,product2,241.0
month2,city2,product2,230.0
month3,city2,product2,187.0
month4,city2,product2,198.0
month5,city2,product2,202.0
month6,city2,product2,240.0
month7,city2,product2,251.0
month8,city2,product2,191.0
month9,city2,product2,249.0
month10,city2,product2,244.0
month11,city2,product2,228.0
month12,city2,product2,222.0
month1,city2,product3,228.0
month2,city2,product3,215.0
month3,city2,product3,169.0
month4,city2,product3,182.0
month5,city2,product3,184.0
month6,city2,product3,222.0
month7,city2,product3,232.0
month8,city2,product3,175.0
month9,city2,product3,232.0
month10,city2,product3,229.0
month11,city2,product3,210.0
month12,city2,product3,206.0
month1,city2,product4,208.0
month2,city2,product4,194.0
month3,city2,product4,154.0
month4,city2,product4,164.0
month5,city2,product4,167.0
