Time,City,Product,Sales
quarter1,city1,product1,312.0
quarter2,city1,product1,306.0
quarter3,city1,product1,329.0
quarter4,city1,product1,277.0
quarter1,city1,product2,358.0
quarter2,city1,product2,369.0
quarter3,city1,product2,389.0
quarter4,city1,product2,336.0
quarter1,city1,product3,301.0
quarter2,city1,product3,300.0
quarter3,city1,product3,314.0
quarter4,city1,product3,278.0
quarter1,city1,product4,320.0
quarter2,city1,product4,334.0
quarter3,city1,product4,351.0
quarter4,city1,product4,291.0
quarter1,city1,product5,278.0
quarter2,city1,product5,288.0
quarter3,city1,product5,302.0
quarter4,city1,product5,253.0
quarter1,city2,product1,328.0
quarter2,city2,product1,318.0
quarter3,city2,product1,339.0
quarter4,city2,product1,288.0
quarter1,city2,product2,372.0
quarter2,city2,product2,378.0
quarter3,city2,product2,397.0
quarter4,city2,product2,344.0
quarter1,city2,product3,313.0
quarter2,city2,product3,307.0
quarter3,city2,product3,321.0
quarter4,city2,product3,285.0
quarter1,city2,product4,327.0
quarter2,city2,product4,336.0
quarter3,city2,product4,352.0
quarter4,city2,product4,293.0
quarter1,city2,product5,287.0
quarter2,city2,product5,292.0
quarter3,city2,product5,304.0
quarter4,city2,product5,257.0
quarter1,city3,product1,341.0
quarter2,city3,product1,331.0
quarter3,city3,product1,353.0
quarter4,city3,product1,302.0
quarter1,city3,product2,381.0
quarter2,city3,product2,386.0
quarter3,city3,product2,406.0
quarter4,city3,product2,354.0
quarter1,city3,product3,326.0
quarter2,city3,product3,320.0
quarter3,city3,product3,334.0
quarter4,city3,product3,299.0
quarter1,city3,product4,342.0
quarter2,city3,product4,352.0
quarter3,city3,product4,368.0
quarter4,city3,product4,310.0
quarter1,city3,product5,305.0
quarter2,city3,product5,310.0
quarter3,city3,product5,324.0
quarter4,city3,product5,277.0
